,Unnamed: 0,word,sense_index,name,lexname,pos,definition,examples,semcor_examples
22,0,nose,0,nose.n.01,noun.body,n,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,he has a cold in the nose,Moritz does n't even have a nose guard or hip pads but he 's one of the most valuable members of the Longhorn team that will be heavily favored Saturday over Oklahoma in the cotton bowl.
23,1,nose,1,nose.n.02,noun.artifact,n,a front that resembles a human nose (especially the front of an aircraft),the nose of the rocket heated up on reentry,"Finally, Orville intoned through his hawk nose, "" We can n't have people running in any time they please, Sergeant ""."
24,2,nose,2,nose.n.03,noun.artifact,n,the front or forward projection of a tool or weapon,he ducked under the nose of the gun,[]
25,3,nose,3,nose.n.04,noun.quantity,n,a small distance,my horse lost the race by a nose,[]
26,4,nose,4,nose.n.05,noun.communication,n,a symbol of inquisitiveness,keep your nose out of it,[]
27,5,nose,5,nose.n.06,noun.cognition,n,the sense of smell (especially in animals),the hound has a good nose,[]
28,6,nose,6,nose.n.07,noun.cognition,n,a natural skill,he has a nose for good deals,[]
29,7,nose,7,nozzle.n.01,noun.artifact,n,a projecting spout from which a fluid is discharged,,[]
30,8,nose,8,intrude.v.03,verb.perception,v,search or inquire in a meddlesome way,This guy is always nosing around the office,"At the door she turned back, her Roman nose looking very long now and satiric."
31,9,nose,9,nose.v.02,verb.motion,v,advance the forward part of with caution,She nosed the car into the left lane,[]
32,10,nose,10,scent.v.02,verb.perception,v,catch the scent of; get wind of,The dog nosed out the drugs,[]
33,11,nose,11,nose.v.04,verb.motion,v,push or move with the nose,,[]
34,12,nose,12,nuzzle.v.02,verb.contact,v,rub noses,,[]
35,13,nose,13,nose.v.06,verb.competition,v,defeat by a narrow margin,,[]
36,0,balloon,0,balloon.n.01,noun.artifact,n,large tough nonrigid bag filled with gas or heated air,,""" I paint the nothing "", he said once to Franz Kline and myself, "" the nothing that is behind the something, the inexpressible, unpaintable ' tick ' in the unconscious, the ' spirit ' of the moment resting forever, suspended like a huge balloon, in non time ""."
37,1,balloon,1,balloon.n.02,noun.artifact,n,small thin inflatable rubber bag with narrow neck,,These droplets are distorted by the normal forces just as a balloon would be pulled or pressed out of shape in one 's hands.
38,2,balloon,2,balloon.v.01,verb.motion,v,ride in a hot-air balloon,He tried to balloon around the earth but storms forced him to land in China,[]
39,3,balloon,3,balloon.v.02,verb.change,v,become inflated,The sails ballooned,[]
40,0,quack,0,quack.n.01,noun.person,n,an untrained person who pretends to be a physician and who dispenses medical advice,,Look at the sums paid by two device quack victims in Cleveland.
41,1,quack,1,quack.n.02,noun.event,n,the harsh sound of a duck,,[]
42,2,quack,2,quack.v.01,verb.communication,v,utter quacking noises,The ducks quacked,[]
43,3,quack,3,quack.v.02,verb.body,v,act as a medical quack or a charlatan,,[]
44,4,quack,4,quack.s.01,adj.all,s,medically unqualified,a quack doctor,"And she felt amply rewarded for her suffering when the evidence of Lee 's quack shenanigans, gathered by the tape recorder under her friend 's clothing, proved adequate in court for convicting Franklin D. Lee."
45,0,car,0,car.n.01,noun.artifact,n,a motor vehicle with four wheels; usually propelled by an internal combustion engine,he needs a car to get to work,"Petitions asking for a jail term for Norristown attorney Julian W. Barnard will be presented to the Montgomery County Court Friday, it was disclosed Tuesday by Horace A. Davenport, counsel for the widow of the man killed last Nov. 1 by Barnard 's hit-run car."
46,1,car,1,car.n.02,noun.artifact,n,a wheeled vehicle adapted to the rails of railroad,three cars had jumped the rails,[]
47,2,car,2,car.n.03,noun.artifact,n,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,,[]
48,3,car,3,car.n.04,noun.artifact,n,where passengers ride up and down,the car was on the top floor,[]
49,4,car,4,cable_car.n.01,noun.artifact,n,a conveyance for passengers or freight on a cable railway,they took a cable car to the top of the mountain,[]
50,0,hot,0,hot.a.01,adj.all,a,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning,hot stove;hot water;a hot August day;a hot stuffy room;she's hot and tired;a hot forehead,"As it turned out, a very hot region occurred on the plug."
51,1,hot,1,hot.s.02,adj.all,s,characterized by violent and forceful activity or movement; very intense,the fighting became hot and heavy;a hot engagement;a raging battle;the river became a raging torrent,[]
52,2,hot,2,hot.a.03,adj.all,a,extended meanings; especially of psychological heat; marked by intensity or vehemence especially of passion or enthusiasm,a hot temper;a hot topic;a hot new book;a hot love affair;a hot argument,"After a long, hot controversy, Miller County has a new school superintendent, elected, as a policeman put it, in the "" coolest election I ever saw in this county ""."
53,3,hot,3,hot.s.04,adj.all,s,(color) bold and intense,hot pink,[]
54,4,hot,4,hot.s.05,adj.all,s,sexually excited or exciting,was hot for her;hot pants,[]
55,5,hot,5,hot.s.06,adj.all,s,recently stolen or smuggled,hot merchandise;a hot car,[]
56,6,hot,6,blistering.s.03,adj.all,s,very fast; capable of quick response and great speed,a hot sports car;a blistering pace;got off to a hot start;in hot pursuit;a red-hot line drive,"To reduce heat transfer from the hot gas to this anode holder outside the region of the arc, a carbon shield was attached to the surface providing an air gap of 1/16 inch between the plate and the surface of the anode holder."
57,7,hot,7,hot.s.08,adj.all,s,wanted by the police,a hot suspect,[]
58,8,hot,8,hot.s.09,adj.all,s,producing a burning sensation on the taste nerves,hot salsa;jalapeno peppers are very hot,[]
59,9,hot,9,hot.s.10,adj.all,s,performed or performing with unusually great skill and daring and energy,a hot drummer;he's hot tonight,[]
60,10,hot,10,hot.s.11,adj.all,s,very popular or successful,one of the hot young talents;cabbage patch dolls were hot last season,[]
61,11,hot,11,hot.s.12,adj.all,s,very unpleasant or even dangerous,make it hot for him;in the hot seat;in hot water,[]
62,12,hot,12,hot.s.13,adj.all,s,newest or most recent,news hot off the press;red-hot information,[]
63,13,hot,13,hot.s.14,adj.all,s,having or bringing unusually good luck,hot at craps;the dice are hot tonight,[]
64,14,hot,14,hot.s.15,adj.all,s,very good; often used in the negative,he's hot at math but not so hot at history,[]
65,15,hot,15,hot.s.16,adj.all,s,newly made,a hot scent,[]
66,16,hot,16,hot.s.17,adj.all,s,having or showing great eagerness or enthusiasm,hot for travel,[]
67,17,hot,17,hot.s.18,adj.all,s,of a seeker; very near to the object sought,you are hot,[]
68,18,hot,18,hot.s.19,adj.all,s,having or dealing with dangerously high levels of radioactivity,hot fuel rods;a hot laboratory,[]
69,19,hot,19,hot.s.20,adj.all,s,charged or energized with electricity,a hot wire;a live wire,[]
70,20,hot,20,hot.s.21,adj.all,s,marked by excited activity,a hot week on the stock market,[]
71,0,kitty,0,pool.n.07,noun.possession,n,the combined stakes of the betters,,[]
72,1,kitty,1,pot.n.06,noun.possession,n,the cumulative amount involved in a game (such as poker),,[]
73,2,kitty,2,kitten.n.01,noun.animal,n,young domestic cat,,[]
74,3,kitty,3,kitty.n.04,noun.animal,n,informal terms referring to a domestic cat,,[]
75,0,juice,0,juice.n.01,noun.food,n,the liquid part that can be extracted from plant or animal tissue by squeezing or cooking,,"This was a broth of a boy, our Felix, and nothing was more obvious than the joy he took in demonstrating how agile he was and how full of juice and spirit."
76,1,juice,1,juice.n.02,noun.state,n,energetic vitality,her creative juices were flowing,[]
77,2,juice,2,juice.n.03,noun.phenomenon,n,electric current,when the wiring was finished they turned on the juice,[]
78,3,juice,3,juice.n.04,noun.body,n,any of several liquids of the body,digestive juices,[]
79,0,good,0,good.n.01,noun.attribute,n,benefit,for your own good;what's the good of worrying?,"Would applause, for example, be fitting if, apart from the applause, there were nothing good to applaud ?"
80,1,good,1,good.n.02,noun.attribute,n,moral excellence or admirableness,there is much good to be found in people,Stengel will receive the Ben Epstein Good Guy Award.
81,2,good,2,good.n.03,noun.attribute,n,that which is pleasing or valuable or useful,weigh the good against the bad;among the highest goods of all are happiness and self-realization,Three inches of porous material will do a good job of keeping weeds down and the soil moist and cool.
82,3,good,3,commodity.n.01,noun.artifact,n,articles of commerce,,[]
83,4,good,4,good.a.01,adj.all,a,having desirable or positive qualities especially those suitable for a thing specified,good news from the hospital;a good report card;when she was good she was very very good;a good knife is one good for cutting;this stump will make a good picnic table;a good check;a good joke;a good exterior paint;a good secretary;a good dress for the office,"A good feeling prevailed on the SMU coaching staff Monday, but attention quickly turned from Saturday 's victory to next week 's problem : Rice University."
84,5,good,5,full.s.06,adj.all,s,having the normally expected amount,gives full measure;gives good measure;a good mile from here,Historical existence is a created good.
85,6,good,6,good.a.03,adj.all,a,morally admirable,,"His addle-brained knight-errant, self appointed to the ridiculous position in an age when armor had already been relegated to museums and the chivalrous code of knight-errantry had become a joke, is, as Cervantes no doubt intended, a gaunt but gracious symbol of good, moving soberly and sincerely in a world of cynics, hypocrites and rogues."
86,7,good,7,estimable.s.02,adj.all,s,deserving of esteem and respect,all respectable companies give guarantees;ruined the family's good name,"A second and also good practice is to shear off the tops, leaving an inch high stub with just a leaf or two on each branch."
87,8,good,8,beneficial.s.01,adj.all,s,promoting or enhancing well-being,an arms limitation agreement beneficial to all countries;the beneficial effects of a temperate climate;the experience was good for her,""" Good "" !"
88,9,good,9,good.s.06,adj.all,s,agreeable or pleasing,we all had a good time;good manners,"To Voltaire 's surprise, however, their host gives them fresh clothes to put on, opens his purse to lend them money and sits them down before a good dinner."
89,10,good,10,good.s.07,adj.all,s,of moral excellence,a genuinely good person;a just cause;an upright and respectable man,""" What possessed you to tell me a clotheshorse would be a good idea "" ?"
90,11,good,11,adept.s.01,adj.all,s,having or showing knowledge and skill and aptitude,adept in handicrafts;an adept juggler;an expert job;a good mechanic;a practiced marksman;a proficient engineer;a lesser-known but no less skillful composer;the effect was achieved by skillful retouching,[]
91,12,good,12,good.s.09,adj.all,s,thorough,had a good workout;gave the house a good cleaning,The left fielder threw and it was a good one.
92,13,good,13,dear.s.02,adj.all,s,with or in a close or intimate relationship,a good friend;my sisters and brothers are near and dear,"She 'd say she did n't feel good on Sunday, could n't go to church - there 'd be a little argument, but she could be stubborn - and when the old woman had gone, quick pack the things she 'd need to take, all but the dress she 'd wear Monday, and take the bag down to that place in the station where you could put things in a locker overnight, for a dime."
93,14,good,14,dependable.s.04,adj.all,s,financially sound,a good investment;a secure investment,""" I asked her why she could n't do it tomorrow, but it seems the muse is working good tonight and she 's afraid to let it go ""."
94,15,good,15,good.s.12,adj.all,s,most suitable or right for a particular purpose,a good time to plant tomatoes;the right time to act;the time is ripe for great sociological changes,"Called Perennian, to indicate its lasting, good today and tomorrow quality, the collection truly avoids the monotony of identical pieces."
95,16,good,16,good.s.13,adj.all,s,resulting favorably,it's a good thing that I wasn't there;it is good that you stayed;it is well that no one saw you;all's well that ends well,Hospital officials said the injury was severe but the youth was in good condition last night.
96,17,good,17,effective.s.04,adj.all,s,exerting force or influence,the law is effective immediately;a warranty good for two years;the law is already in effect (or in force),"While observing the operations of our Government in various parts of the world, I have felt that in many situations where our policies were good we have tended to ignore minor problems which spoiled our main effort."
97,18,good,18,good.s.15,adj.all,s,capable of pleasing,good looks,[]
98,19,good,19,good.s.16,adj.all,s,appealing to the mind,good music;a serious book,[]
99,20,good,20,good.s.17,adj.all,s,in excellent physical condition,good teeth;I still have one good leg;a sound mind in a sound body,[]
100,21,good,21,good.s.18,adj.all,s,tending to promote physical well-being; beneficial to health,beneficial effects of a balanced diet;a good night's sleep;the salutary influence of pure air,[]
101,22,good,22,good.s.19,adj.all,s,not forged,a good dollar bill,[]
102,23,good,23,good.s.20,adj.all,s,not left to spoil,the meat is still good,[]
103,24,good,24,good.s.21,adj.all,s,generally admired,good taste,[]
104,25,good,25,well.r.01,adv.all,r,(often used as a combining form) in a good or proper or satisfactory manner or to a high standard (`good' is a nonstandard dialectal variant for `well'),the children behaved well;a task well done;the party went well;he slept well;a well-argued thesis;a well-seasoned dish;a well-planned party;the baby can walk pretty good,""" I feel good physically "", Hansen added, "" but I think I 'll move better carrying a little less weight than I'm carrying now ""."
105,26,good,26,thoroughly.r.02,adv.all,r,completely and absolutely (`good' is sometimes used informally for `thoroughly'),he was soundly defeated;we beat him good,"Six hundred and forty acres, the old man back in St. Louis had said; good grass, good water."
106,0,grandma,0,grandma.n.01,noun.person,n,the mother of your father or mother,,"You could set up tables in the front room and serve salads and your baked beans and brown bread and Grandma could dress like a gypsy and tell fortunes ""."
107,0,cat,0,cat.n.01,noun.animal,n,feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats,,[]
108,1,cat,1,guy.n.01,noun.person,n,an informal term for a youth or man,a nice guy;the guy's only doing it for some doll,[]
109,2,cat,2,cat.n.03,noun.person,n,a spiteful woman gossip,what a cat she is!,[]
110,3,cat,3,kat.n.01,noun.artifact,n,the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant,in Yemen kat is used daily by 85% of adults,[]
111,4,cat,4,cat-o'-nine-tails.n.01,noun.artifact,n,a whip with nine knotted cords,British sailors feared the cat,[]
112,5,cat,5,caterpillar.n.02,noun.artifact,n,a large tracked vehicle that is propelled by two endless metal belts; frequently used for moving earth in construction and farm work,,[]
113,6,cat,6,big_cat.n.01,noun.animal,n,any of several large cats typically able to roar and living in the wild,,[]
114,7,cat,7,computerized_tomography.n.01,noun.act,n,a method of examining body organs by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis,,[]
115,8,cat,8,cat.v.01,verb.contact,v,beat with a cat-o'-nine-tails,,[]
116,9,cat,9,vomit.v.01,verb.body,v,eject the contents of the stomach through the mouth,"After drinking too much, the students vomited;He purged continuously;The patient regurgitated the food we gave him last night",[]
117,0,cookie,0,cookie.n.01,noun.food,n,any of various small flat sweet cakes (`biscuit' is the British term),,Wooden butter molds and cookie presses.
118,1,cookie,1,cookie.n.02,noun.person,n,the cook on a ranch or at a camp,,[]
119,2,cookie,2,cookie.n.03,noun.communication,n,a short line of text that a web site puts on your computer's hard drive when you access the web site,,[]
120,0,thank,0,thank.v.01,verb.communication,v,express gratitude or show appreciation to,,"For example, one hebephrenic man used to annoy me, month after month, by saying, whenever I got up to leave and made my fairly steoreotyped comment that I would be seeing him on the following day, or whenever, "" You 're welcome "", in a notably condescending fashion - as though it were his due for me to thank him for the privilege of spending the hour with him, and he were thus pointing up my failure to utter a humbly grateful, "" thank you "" to him at the end of each session."
121,0,cheese,0,cheese.n.01,noun.food,n,a solid food prepared from the pressed curd of milk,,"They went shopping in the neighborhood, and bought two loaves of bread with the ration coupons they had been given in Blois, and some cheese, and a dozen eggs, and a bag of oranges from a peddler in the Place Redoute - the first oranges they had seen since they landed."
122,1,cheese,1,tall_mallow.n.01,noun.plant,n,erect or decumbent Old World perennial with axillary clusters of rosy-purple flowers; introduced in United States,,[]
123,2,cheese,2,cheese.v.01,verb.stative,v,"used in the imperative (get away, or stop it)",Cheese it!,[]
124,3,cheese,3,cheese.v.02,verb.contact,v,wind onto a cheese,cheese the yarn,[]
125,0,milk,0,milk.n.01,noun.food,n,a white nutritious liquid secreted by mammals and used as food by human beings,,"If it 's true that contented cows give more milk, why should n't happy ball players produce more base hits ?"
126,1,milk,1,milk.n.02,noun.body,n,produced by mammary glands of female mammals for feeding their young,,""" You 're boiling milk, ai n't you "" ? soothing it with his hand, knowing the whiskered jowls and the swollen smoothness of teats that wrinkled expectantly to his touch."
127,2,milk,2,milk.n.03,noun.object,n,a river that rises in the Rockies in northwestern Montana and flows eastward to become a tributary of the Missouri River,,[]
128,3,milk,3,milk.n.04,noun.food,n,any of several nutritive milklike liquids,,[]
129,4,milk,4,milk.v.01,verb.change,v,take milk from female mammals,Cows need to be milked every morning,"With meat, milk, butter and ice cream, the calorie-heavy U. S. diet is 40 % fat, and most of that is saturated fat - the insidious kind, says Dr. Keys, that increases blood cholesterol, damages arteries, and leads to coronary disease."
130,5,milk,5,milk.v.02,verb.consumption,v,exploit as much as possible,I am milking this for all it's worth,"Depending on the organism, there may be multiplication in some food or beverage products, i.e., in milk for example."
131,6,milk,6,milk.v.03,verb.change,v,add milk to,milk the tea,[]
132,0,ear,0,ear.n.01,noun.body,n,the sense organ for hearing and equilibrium,,[]
133,1,ear,1,ear.n.02,noun.cognition,n,good hearing,he had a keen ear;a good ear for pitch,[]
134,2,ear,2,auricle.n.02,noun.body,n,the externally visible cartilaginous structure of the external ear,,[]
135,3,ear,3,ear.n.04,noun.cognition,n,attention to what is said,he tried to get her ear,[]
136,4,ear,4,ear.n.05,noun.plant,n,fruiting spike of a cereal plant especially corn,,[]
137,0,bath,0,bath.n.01,noun.artifact,n,a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it),she soaked the etching in an acid bath,The gradient was about one half of a millidegree at 4.2 * * f but increased to several millidegrees for bath temperatures slightly greater than the | l point.
138,1,bath,1,bath.n.02,noun.act,n,you soak and wash your body in a bathtub,he has a good bath every morning,He reached out and felt the bath towel hanging on the towel rack over the tub.
139,2,bath,2,bathtub.n.01,noun.artifact,n,a relatively large open container that you fill with water and use to wash the body,,[]
140,3,bath,3,bath.n.04,noun.quantity,n,an ancient Hebrew liquid measure equal to about 10 gallons,,[]
141,4,bath,4,bath.n.05,noun.location,n,a town in southwestern England on the River Avon; famous for its hot springs and Roman remains,,[]
142,5,bath,5,bathroom.n.01,noun.artifact,n,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet,,[]
143,6,bath,6,bathe.v.03,verb.body,v,clean one's body by immersion into water,The child should bathe every day,[]
144,0,bubbles,0,bubble.n.01,noun.object,n,"a hollow globule of gas (e.g., air or carbon dioxide)",,[]
145,1,bubbles,1,house_of_cards.n.01,noun.cognition,n,a speculative scheme that depends on unstable factors that the planner cannot control,his proposal was nothing but a house of cards;a real estate bubble,[]
146,2,bubbles,2,bubble.n.03,noun.cognition,n,an impracticable and illusory idea,he didn't want to burst the newcomer's bubble,[]
147,3,bubbles,3,bubble.n.04,noun.artifact,n,a dome-shaped covering made of transparent glass or plastic,,[]
148,4,bubbles,4,bubble.v.01,verb.change,v,"form, produce, or emit bubbles",The soup was bubbling,[]
149,5,bubbles,5,ripple.v.02,verb.perception,v,flow in an irregular current with a bubbling noise,babbling brooks,[]
150,6,bubbles,6,bubble.v.03,verb.motion,v,rise in bubbles or as if in bubbles,bubble to the surface,[]
151,7,bubbles,7,bubble.v.04,verb.change,v,cause to form bubbles,bubble gas through a liquid,[]
152,8,bubbles,8,burp.v.01,verb.body,v,expel gas from the stomach,In China it is polite to burp at the table,[]
153,0,apple,0,apple.n.01,noun.food,n,fruit with red or yellow or green skin and sweet to tart crisp whitish flesh,,Apple trees grew there also.
154,1,apple,1,apple.n.02,noun.plant,n,native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits,,[]
155,0,yes,0,yes.n.01,noun.communication,n,an affirmative,I was hoping for a yes,""" At home, yes "", they argued."
156,0,hat,0,hat.n.01,noun.artifact,n,headdress that protects the head from bad weather; has shaped crown and usually a brim,,[]
157,1,hat,1,hat.n.02,noun.act,n,an informal term for a person's role,he took off his politician's hat and talked frankly,[]
158,2,hat,2,hat.v.01,verb.body,v,put on or wear a hat,He was unsuitably hatted,[]
159,3,hat,3,hat.v.02,verb.possession,v,furnish with a hat,,[]
160,0,grandpa,0,grandfather.n.01,noun.person,n,the father of your father or mother,,[]
161,0,bottle,0,bottle.n.01,noun.artifact,n,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped,,"His unsuccessful strivings to give up drink are represented as religious strivings; he keeps a bottle in a wardrobe at home, and "" before this wardrobe Praisegod Piepsam had before now gone literally on his knees, and in his wrestlings had bitten his tongue - and still in the end capitulated ""."
162,1,bottle,1,bottle.n.02,noun.quantity,n,the quantity contained in a bottle,,She had lost a bottle of opium - but that was on the trip from New Orleans.
163,2,bottle,2,bottle.n.03,noun.artifact,n,a vessel fitted with a flexible teat and filled with milk or formula; used as a substitute for breast feeding infants and very young children,,[]
164,3,bottle,3,bottle.v.01,verb.possession,v,store (liquids or gases) in bottles,,[]
165,4,bottle,4,bottle.v.02,verb.contact,v,put into bottles,bottle the mineral water,[]
166,0,hello,0,hello.n.01,noun.communication,n,an expression of greeting,every morning they exchanged polite hellos,He was passing through town and phoned to say hello.
167,0,fish,0,fish.n.01,noun.animal,n,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,the shark is a large fish;in the living room there was a tank of colorful fish,"The fish, animals, and birds which may be found at the site are another interest."
168,1,fish,1,fish.n.02,noun.food,n,the flesh of fish used as food,in Japan most fish is eaten raw;after the scare about foot-and-mouth disease a lot of people started eating fish instead of meat;they have a chef who specializes in fish,"There true yachtsmen often find November winds steadier, the waters cooler, the fish hungrier, and rivers more pleasant - less turbulence and mud, and fewer floating logs."
169,2,fish,2,pisces.n.02,noun.person,n,(astrology) a person who is born while the sun is in Pisces,,[]
170,3,fish,3,pisces.n.01,noun.location,n,the twelfth sign of the zodiac; the sun is in this sign from about February 19 to March 20,,[]
171,4,fish,4,fish.v.01,verb.contact,v,seek indirectly,fish for compliments,"Planes made her feel faint, and in Tokyo, where she had gone that summer, she had been given raw fish for breakfast and so she had come straight home."
172,5,fish,5,fish.v.02,verb.competition,v,catch or try to catch fish or shellfish,I like to go fishing on weekends,"Japanese fishermen have sometimes observed that sardines hauled up in their nets during a tsunami have enormously swollen stomachs; the fish have swallowed vast numbers of bottom living diatoms, raised to the surface by the disturbance."
173,0,up,0,up.v.01,verb.change,v,raise,up the ante,[]
174,1,up,1,up.a.01,adj.all,a,being or moving higher in position or greater in some value; being above a former position or level,the anchor is up;the sun is up;he lay face up;he is up by a pawn;the market is up;the corn is up,""" Get up."
175,2,up,2,astir.s.01,adj.all,s,out of bed,are they astir yet?;up by seven each morning,[]
176,3,up,3,improving.s.01,adj.all,s,getting higher or more vigorous,its an up market;an improving economy,""" I get up early."
177,4,up,4,up.s.04,adj.all,s,extending or moving toward a higher place,the up staircase;a general upward movement of fish,[]
178,5,up,5,up.s.05,adj.all,s,(usually followed by `on' or `for') in readiness,he was up on his homework;had to be up for the game,[]
179,6,up,6,up.s.06,adj.all,s,open,the windows are up,[]
180,7,up,7,up.s.07,adj.all,s,(used of computers) operating properly,how soon will the computers be up?,[]
181,8,up,8,up.s.08,adj.all,s,used up,time is up,[]
182,9,up,9,up.r.01,adv.all,r,spatially or metaphorically from a lower to a higher position,look up!;the music surged up;the fragments flew upwards;prices soared upwards;upwardly mobile,Developments up to about 1957 have been discussed by Sonenberg ( 1958 ).
183,10,up,10,up.r.02,adv.all,r,to a higher intensity,he turned up the volume,[]
184,11,up,11,up.r.03,adv.all,r,nearer to the speaker,he walked up and grabbed my lapels,[]
185,12,up,12,up.r.04,adv.all,r,to a more central or a more northerly place,was transferred up to headquarters;up to Canada for a vacation,[]
186,13,up,13,up.r.05,adv.all,r,to a later time,they moved the meeting date up;from childhood upward,[]
187,0,please,0,please.v.01,verb.emotion,v,give pleasure to or be pleasing to,These colors please the senses;a pleasing sensation,Will somebody please reopen the Auditorium ?
188,1,please,1,please.v.02,verb.emotion,v,be the will of or have the will (to),he could do many things if he pleased,"An excited woman was making an emergency call over the phone : "" Doctor, please come over right away."
189,2,please,2,please.v.03,verb.emotion,v,give satisfaction,The waiters around her aim to please,[]
190,3,please,3,please.r.01,adv.all,r,used in polite request,please pay attention,[]
191,0,all,0,all.a.01,adj.all,a,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class,we sat up all night;ate all the food;all men are mortal;all parties are welcome,""" He almost brought it back all the way ""."
192,1,all,1,all.s.02,adj.all,s,completely given to or absorbed by,became all attention,"The action is a drop-block, handling all the standard.22 rim-fires."
193,2,all,2,wholly.r.01,adv.all,r,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly'),he was wholly convinced;entirely satisfied with the meal;it was completely different from what we expected;was completely at fault;a totally new situation;the directions were all wrong;it was not altogether her fault;an altogether new approach;a whole new idea,"Finally, the conception of the natural community of all possessions which originated with the Stoics was firmly fixed in a tradition by More 's time, although it was not accepted by all the theologian philosophers of the Middle Ages."
194,0,truck,0,truck.n.01,noun.artifact,n,an automotive vehicle suitable for hauling,,"If he snatches a toy, she says, "" Caroline wants her own truck just as you do ""."
195,1,truck,1,hand_truck.n.01,noun.artifact,n,a handcart that has a frame with two low wheels and a ledge at the bottom and handles at the top; used to move crates or other heavy objects,,[]
196,2,truck,2,truck.v.01,verb.motion,v,convey (goods etc.) by truck,truck fresh vegetables across the mountains,The books are carried around by truck in canvas bags from headquarters to the other libraries.
197,0,bear,0,bear.n.01,noun.animal,n,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,,"Here, in an atmosphere of forthrightness and mutual criticism, each sought to bring his particular insights to bear upon the question of discrimination in housing and the part each man present played in it."
198,1,bear,1,bear.n.02,noun.person,n,an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price,,[]
